Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 07,Upper West Side,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,760","$1,950","$2,040","$2,300","$2,480","$2,650",
MN 07,Upper West Side,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,810","$2,890","$3,060","$3,200",
MN 07,Upper West Side,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,9.7%,,
MN 07,Upper West Side,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,2.3%,5.9%,4.8%,4.5%,
MN 07,Upper West Side,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,17.4%,26.1%,21.9%,19.6%,
MN 07,Upper West Side,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,39.0%,53.5%,55.7%,56.5%,
MN 07,Upper West Side,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,21.3%,22.4%,18.2%,23.8%,20.0%,
MN 07,Upper West Side,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,25.9%,24.0%,25.4%,26.8%,
MN 07,Upper West Side,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,36.5%,38.4%,33.1%,33.2%,
MN 07,Upper West Side,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,16.6%,,20.1%,20.3%,20.9%,21.3%,
MN 07,Upper West Side,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,48.2%,51.8%,52.8%,51.3%,
MN 07,Upper West Side,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,11.3%,12.9%,12.3%,12.1%,
MN 07,Upper West Side,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,2.1%,2.2%,,,
MN 07,Upper West Side,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"120,652","113,725","118,000","124,080","131,382",
MN 07,Upper West Side,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",0.9,1.7,3.8,1.7,0.5,1.1,
MN 07,Upper West Side,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,15,27,77,38,11,26,
MN 07,Upper West Side,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,8,21,63,17,2,14,
MN 07,Upper West Side,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,2,5,8,18,9,10,
MN 07,Upper West Side,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,8.2,4.6,8.3,6.4
MN 07,Upper West Side,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,168,97,177,138
MN 07,Upper West Side,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,0,0,0,,,,
MN 07,Upper West Side,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,0.0%,0.0%,0.0%,0.0%,
MN 07,Upper West Side,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,1.8%,0.7%,0.4%,0.6%,0.4%,
MN 07,Upper West Side,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,6.0%,0.1%,0.3%,0.1%,0.5%,
MN 07,Upper West Side,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,29.8,20.5,16.1,24.3,22.2,
MN 07,Upper West Side,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,3.4%,1.0%,2.3%,2.1%,2.3%,
MN 07,Upper West Side,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,0.4%,2.7%,0.7%,1.3%,1.9%,
MN 07,Upper West Side,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,11.6,38.3,15.9,30.2,9.9,
MN 07,Upper West Side,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,4,5,8,3,11,10,12
MN 07,Upper West Side,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,9,11,12,1,7,15,12
MN 07,Upper West Side,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,33,68,60,34,68,51,57
MN 07,Upper West Side,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,33,"1,135","1,047",615,"1,143",969,696
MN 07,Upper West Side,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,79,"1,219","1,127",653,"1,229","1,045",777
MN 07,Upper West Side,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$11,865,410","$9,118,660","$7,302,520","$7,524,290","$6,940,020","$7,566,110","$7,725,000"
MN 07,Upper West Side,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$1,054,210","$1,577,530","$2,456,450","$2,054,710","$2,395,960","$2,227,790","$2,218,750"
MN 07,Upper West Side,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$308,770","$496,050","$466,500","$612,800","$430,540","$500,300","$340,000"
MN 07,Upper West Side,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$992,460","$1,389,110","$1,442,150","$1,776,890","$1,498,160","$1,920,730","$1,625,000"
MN 07,Upper West Side,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,120.8,153.4,157.1,,242.1,273.9
MN 07,Upper West Side,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,182.3,186.5,304.1,380.0,326.8,457.1
MN 07,Upper West Side,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,169.3,215.3,316.8,323.6,389.7,305.6
MN 07,Upper West Side,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,226.4,228.9,301.8,298.3,319.7,305.0
MN 07,Upper West Side,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,198.9,203.8,269.5,267.6,288.2,272.8
MN 07,Upper West Side,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,441,0,0,342,125,252,71
MN 07,Upper West Side,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,921,566,"1,285","1,803",363,123,416
MN 07,Upper West Side,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,73.2,67.5,60.6,66.8,76.6,
MN 07,Upper West Side,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,250
MN 07,Upper West Side,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,8
MN 07,Upper West Side,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,992
MN 07,Upper West Side,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,22
MN 07,Upper West Side,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,"1,580"
MN 07,Upper West Side,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,38
MN 07,Upper West Side,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,"5,111"
MN 07,Upper West Side,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,22
MN 07,Upper West Side,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,"5,926"
MN 07,Upper West Side,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,7.7%
MN 07,Upper West Side,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,11
MN 07,Upper West Side,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,"1,758"
MN 07,Upper West Side,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,17
MN 07,Upper West Side,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"5,573"
MN 07,Upper West Side,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,31
MN 07,Upper West Side,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,"1,824"
MN 07,Upper West Side,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,115
MN 07,Upper West Side,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,11
MN 07,Upper West Side,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"1,664"
MN 07,Upper West Side,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,28
MN 07,Upper West Side,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"3,089"
MN 07,Upper West Side,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,23
MN 07,Upper West Side,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"3,070"
MN 07,Upper West Side,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",83.3%,83.9%,85.7%,85.5%,85.6%,85.6%,
MN 07,Upper West Side,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,30.3,28.8,29.6,30.5,29.0,31.1,
MN 07,Upper West Side,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,12.2,9.2,9.0,9.5,10.6,9.9
MN 07,Upper West Side,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,9.4,7.1,6.7,7.2,8.1,7.6
MN 07,Upper West Side,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,2.8,2.1,2.3,2.4,2.4,2.4
MN 07,Upper West Side,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,78.8%,,72.8%,77.5%
MN 07,Upper West Side,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,75.7%,,73.7%,73.3%
