Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,610","$2,080","$2,170","$2,110",
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,4.6%,,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,7.7%,5.3%,4.4%,3.5%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,59.6%,47.8%,49.9%,58.2%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,95.1%,96.0%,97.4%,98.3%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,22.9%,23.3%,22.3%,24.6%,24.6%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,29.3%,31.5%,30.2%,28.4%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,10.6%,15.5%,15.5%,17.1%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,25.7%,,30.2%,27.5%,27.8%,29.4%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,42.8%,40.0%,39.5%,40.7%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.8%,0.2%,0.5%,0.0%,
MN 12,Washington Heights/Inwood,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,9.0%,7.4%,,,
MN 12,Washington Heights/Inwood,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"73,528","75,528","81,726","82,576","87,031",
MN 12,Washington Heights/Inwood,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",24.6,13.9,9.9,0.7,2.1,0.7,
MN 12,Washington Heights/Inwood,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,30,19,36,6,4,8,
MN 12,Washington Heights/Inwood,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,13,8,10,1,2,0,
MN 12,Washington Heights/Inwood,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,1,1,1,0,1,1,
MN 12,Washington Heights/Inwood,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,11.8,15.2,32.2,18.7
MN 12,Washington Heights/Inwood,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,16,21,45,26
MN 12,Washington Heights/Inwood,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,1,0,1,,,,
MN 12,Washington Heights/Inwood,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,0.0%,0.0%,0.0%,0.0%,
MN 12,Washington Heights/Inwood,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,2.4%,0.0%,0.4%,0.0%,0.7%,
MN 12,Washington Heights/Inwood,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,10.3%,0.0%,0.0%,0.5%,0.0%,
MN 12,Washington Heights/Inwood,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,36.5,17.8,22.8,27.4,22.9,
MN 12,Washington Heights/Inwood,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,46.3%,9.7%,47.4%,41.6%,28.1%,
MN 12,Washington Heights/Inwood,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,4.4%,45.9%,2.9%,6.7%,11.2%,
MN 12,Washington Heights/Inwood,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,17.8,22.7,10.1,33.5,8.9,
MN 12,Washington Heights/Inwood,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,1,5,6,0,3,4,1
MN 12,Washington Heights/Inwood,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,8,20,1,6,5,13,7
MN 12,Washington Heights/Inwood,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,36,66,35,40,30,32,40
MN 12,Washington Heights/Inwood,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,8,17,27,77,62,47,25
MN 12,Washington Heights/Inwood,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,53,108,69,123,100,96,73
MN 12,Washington Heights/Inwood,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$229,370","$1,072,350","$451,520",,"$2,753,970","$1,254,960","$1,000,000"
MN 12,Washington Heights/Inwood,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$168,720","$492,410","$1,032,900","$874,650","$881,270","$610,740","$675,000"
MN 12,Washington Heights/Inwood,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$61,910","$155,450","$137,540","$206,990","$184,190","$205,110","$125,500"
MN 12,Washington Heights/Inwood,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$179,270","$547,380","$487,950","$705,550","$594,630","$622,940","$550,000"
MN 12,Washington Heights/Inwood,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,113.7,21.8,,49.3,,
MN 12,Washington Heights/Inwood,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,511.9,,346.8,647.3,490.7,782.2
MN 12,Washington Heights/Inwood,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,311.8,242.6,504.6,504.1,545.6,313.9
MN 12,Washington Heights/Inwood,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,295.6,255.4,454.8,394.5,458.3,419.5
MN 12,Washington Heights/Inwood,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,313.6,226.4,488.1,486.8,493.7,377.9
MN 12,Washington Heights/Inwood,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,127,0,0,145,397,"1,672",691
MN 12,Washington Heights/Inwood,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,0,0,40,104,16,70,166
MN 12,Washington Heights/Inwood,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,71.3,70.1,69.6,74.0,69.2,
MN 12,Washington Heights/Inwood,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,207
MN 12,Washington Heights/Inwood,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,7
MN 12,Washington Heights/Inwood,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,347
MN 12,Washington Heights/Inwood,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,15
MN 12,Washington Heights/Inwood,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,851
MN 12,Washington Heights/Inwood,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,22
MN 12,Washington Heights/Inwood,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,"1,038"
MN 12,Washington Heights/Inwood,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,21
MN 12,Washington Heights/Inwood,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,"2,167"
MN 12,Washington Heights/Inwood,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,3.5%
MN 12,Washington Heights/Inwood,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,7
MN 12,Washington Heights/Inwood,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,"1,410"
MN 12,Washington Heights/Inwood,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,18
MN 12,Washington Heights/Inwood,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,587
MN 12,Washington Heights/Inwood,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,30
MN 12,Washington Heights/Inwood,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,"1,229"
MN 12,Washington Heights/Inwood,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,103
MN 12,Washington Heights/Inwood,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,12
MN 12,Washington Heights/Inwood,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"1,152"
MN 12,Washington Heights/Inwood,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,16
MN 12,Washington Heights/Inwood,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,697
MN 12,Washington Heights/Inwood,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,9
MN 12,Washington Heights/Inwood,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,639
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",75.0%,78.8%,83.9%,87.6%,80.0%,81.5%,
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,40.4,38.3,39.0,43.1,39.7,42.0,
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,10.9,10.8,10.4,14.3,14.6,14.2
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,6.2,5.8,5.9,8.6,8.7,8.7
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.7,5.0,4.5,5.7,5.9,5.6
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,42.5%,,32.2%,42.8%
MN 12,Washington Heights/Inwood,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,39.9%,,29.5%,44.3%
