Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,290","$1,490","$1,600","$1,630",
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,560","$1,780","$1,920","$1,930",
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,230","$1,360","$1,460","$1,720","$1,700","$1,690",
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,460","$1,920","$2,070","$2,010",
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,3.7%,,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,4.9%,3.9%,6.6%,5.7%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,70.3%,57.0%,60.5%,72.6%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,98.0%,97.9%,96.4%,96.9%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,24.6%,26.7%,25.9%,21.4%,18.8%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,34.4%,30.5%,31.1%,29.0%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,9.6%,12.5%,12.8%,11.4%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,28.2%,,29.7%,32.5%,29.6%,29.2%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,44.2%,47.0%,44.9%,44.3%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.3%,0.0%,0.0%,0.7%,
BK 14,Flatbush/Midwood,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,7.8%,5.8%,,,
BK 14,Flatbush/Midwood,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"61,145","60,011","60,160","68,790","66,268",
BK 14,Flatbush/Midwood,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",7.8,9.4,20.6,8.4,5.6,8.5,
BK 14,Flatbush/Midwood,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,79,99,222,95,64,93,
BK 14,Flatbush/Midwood,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,59,57,127,36,18,31,
BK 14,Flatbush/Midwood,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,10,27,63,45,37,55,
BK 14,Flatbush/Midwood,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,56.1,21.8,49.9,38.0
BK 14,Flatbush/Midwood,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,541,220,504,385
BK 14,Flatbush/Midwood,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,3,1,0,,,,
BK 14,Flatbush/Midwood,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.2%,11.0%,1.0%,0.6%,0.4%,
BK 14,Flatbush/Midwood,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,11.5%,0.4%,1.9%,1.4%,1.0%,
BK 14,Flatbush/Midwood,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,21.7%,1.1%,4.2%,0.3%,0.4%,
BK 14,Flatbush/Midwood,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,34.0,16.2,23.3,35.8,29.0,
BK 14,Flatbush/Midwood,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,62.8%,7.5%,47.1%,43.6%,42.3%,
BK 14,Flatbush/Midwood,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,11.4%,48.0%,6.2%,9.8%,11.3%,
BK 14,Flatbush/Midwood,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,38.9,20.2,18.7,42.1,13.1,
BK 14,Flatbush/Midwood,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,183,187,89,90,122,155,120
BK 14,Flatbush/Midwood,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,129,131,55,58,59,98,78
BK 14,Flatbush/Midwood,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,13,59,26,32,17,26,12
BK 14,Flatbush/Midwood,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,10,18,47,123,120,139,67
BK 14,Flatbush/Midwood,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,335,395,217,303,318,418,277
BK 14,Flatbush/Midwood,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$652,820","$1,061,410","$1,002,630","$1,247,300","$1,376,990","$1,344,510","$1,392,500"
BK 14,Flatbush/Midwood,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$247,010","$441,340","$360,950","$662,720","$700,610","$627,350","$625,000"
BK 14,Flatbush/Midwood,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$68,810","$123,860","$126,770","$175,260","$200,970","$176,820","$151,810"
BK 14,Flatbush/Midwood,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$183,050","$586,570","$528,050","$701,330","$666,460","$591,790","$650,000"
BK 14,Flatbush/Midwood,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,212.1,178.1,336.3,378.0,376.4,369.5
BK 14,Flatbush/Midwood,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,219.1,155.1,364.8,371.3,398.4,359.1
BK 14,Flatbush/Midwood,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,252.3,287.4,625.0,646.4,494.1,488.3
BK 14,Flatbush/Midwood,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,392.7,321.6,606.5,637.4,665.2,614.7
BK 14,Flatbush/Midwood,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,213.1,183.7,370.5,382.6,393.7,368.0
BK 14,Flatbush/Midwood,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,0,0,6,660,129,"1,405",197
BK 14,Flatbush/Midwood,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,24,74,305,706,934,378,268
BK 14,Flatbush/Midwood,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,56.1,56.0,54.0,59.5,52.4,
BK 14,Flatbush/Midwood,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,86
BK 14,Flatbush/Midwood,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,3
BK 14,Flatbush/Midwood,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,196
BK 14,Flatbush/Midwood,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,4
BK 14,Flatbush/Midwood,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,336
BK 14,Flatbush/Midwood,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,8
BK 14,Flatbush/Midwood,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,476
BK 14,Flatbush/Midwood,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
BK 14,Flatbush/Midwood,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
BK 14,Flatbush/Midwood,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,0.0%
BK 14,Flatbush/Midwood,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,0
BK 14,Flatbush/Midwood,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,0
BK 14,Flatbush/Midwood,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,95
BK 14,Flatbush/Midwood,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"2,647"
BK 14,Flatbush/Midwood,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,5
BK 14,Flatbush/Midwood,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,327
BK 14,Flatbush/Midwood,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,65
BK 14,Flatbush/Midwood,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,2
BK 14,Flatbush/Midwood,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,148
BK 14,Flatbush/Midwood,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,2
BK 14,Flatbush/Midwood,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,164
BK 14,Flatbush/Midwood,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,8
BK 14,Flatbush/Midwood,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,508
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",68.1%,70.6%,73.8%,73.5%,62.4%,72.5%,
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,46.0,44.4,41.7,43.9,44.7,45.1,
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,15.6,12.3,7.4,8.8,8.5,7.6
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,9.9,7.5,4.8,5.4,5.0,4.5
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,5.7,4.8,2.6,3.4,3.5,3.1
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,52.7%,,46.0%,56.5%
BK 14,Flatbush/Midwood,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,50.9%,,46.2%,56.9%
