Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 09,Kew Gardens/Woodhaven,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.76,0.74,0.74,0.74,0.73,0.73,
QN 09,Kew Gardens/Woodhaven,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.4,4.3,4.7,4.7,4.6,
QN 09,Kew Gardens/Woodhaven,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,41.6%,46.7%,43.3%,48.2%,49.8%,51.8%,
QN 09,Kew Gardens/Woodhaven,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$78,500","$76,920","$76,400","$89,110","$82,850","$84,950",
QN 09,Kew Gardens/Woodhaven,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$106,160","$102,470","$109,010","$104,400","$108,450",
QN 09,Kew Gardens/Woodhaven,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$51,800","$62,260","$75,430","$63,040","$70,270",
QN 09,Kew Gardens/Woodhaven,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,14.7%,14.2%,13.1%,10.1%,14.8%,11.5%,
QN 09,Kew Gardens/Woodhaven,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,13.1%,8.5%,10.3%,10.9%,15.8%,
QN 09,Kew Gardens/Woodhaven,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,20.6%,19.7%,11.5%,20.7%,11.2%,
QN 09,Kew Gardens/Woodhaven,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,66.2%,68.4%,64.2%,62.7%,61.9%,
QN 09,Kew Gardens/Woodhaven,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,21.4%,18.6%,19.8%,22.8%,22.0%,
QN 09,Kew Gardens/Woodhaven,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",8.2%,7.6%,13.3%,5.2%,11.1%,4.8%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,4.3%,2.7%,3.0%,3.0%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,21.5,32.6,41.3,44.3,68.8,83.9
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,2.7%,4.1%,4.2%,3.9%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,129.2,147.9,172.2,206.3,268.5,280.1
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,390","$1,570","$1,710","$1,740",
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,780","$1,880","$2,010","$2,060",
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,400","$1,620","$1,630","$1,900","$1,920","$1,830",
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,740","$1,970","$2,200","$2,260",
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,2.9%,,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,3.6%,2.4%,2.7%,2.1%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,64.7%,65.7%,57.8%,65.7%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,100.0%,99.6%,98.2%,98.5%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,20.6%,27.1%,25.6%,23.6%,24.4%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,37.0%,34.9%,36.9%,33.6%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,7.6%,8.3%,9.1%,9.3%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,25.7%,,29.7%,30.2%,28.5%,30.8%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,47.6%,48.0%,43.1%,43.9%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.7%,0.0%,0.0%,1.7%,
QN 09,Kew Gardens/Woodhaven,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,4.7%,3.6%,,,
QN 09,Kew Gardens/Woodhaven,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"47,135","48,066","46,788","47,285","47,221",
QN 09,Kew Gardens/Woodhaven,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",11.7,16.2,33.1,9.2,4.5,4.8,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,207,294,628,174,87,95,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,169,250,479,72,19,38,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,36,39,121,95,63,50,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,53.6,25.8,52.5,40.8
QN 09,Kew Gardens/Woodhaven,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,978,471,959,744
QN 09,Kew Gardens/Woodhaven,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,43,12,65,,,,
QN 09,Kew Gardens/Woodhaven,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.5%,40.3%,15.6%,14.6%,13.6%,
QN 09,Kew Gardens/Woodhaven,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,37.3%,1.0%,9.1%,5.9%,4.2%,
QN 09,Kew Gardens/Woodhaven,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,32.6%,1.5%,5.2%,0.7%,1.7%,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,65.6,22.9,23.5,27.6,24.7,
QN 09,Kew Gardens/Woodhaven,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,17.5%,18.9%,14.9%,12.3%,14.4%,
QN 09,Kew Gardens/Woodhaven,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,4.0%,13.1%,10.5%,14.9%,16.4%,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,70.6,17.8,18.4,44.1,13.0,
QN 09,Kew Gardens/Woodhaven,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,458,559,187,177,202,225,172
QN 09,Kew Gardens/Woodhaven,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,601,824,355,227,243,352,221
QN 09,Kew Gardens/Woodhaven,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,13,22,3,12,9,9,10
QN 09,Kew Gardens/Woodhaven,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,12,84,28,27,30,42,20
QN 09,Kew Gardens/Woodhaven,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,"1,084","1,489",573,443,484,628,423
QN 09,Kew Gardens/Woodhaven,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$345,820","$671,130","$447,840","$682,970","$703,370","$697,690","$675,000"
QN 09,Kew Gardens/Woodhaven,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$216,140","$427,120","$250,660","$419,620","$444,490","$425,670","$395,000"
QN 09,Kew Gardens/Woodhaven,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$105,860","$192,590","$123,660","$188,190","$189,470","$174,270","$156,250"
QN 09,Kew Gardens/Woodhaven,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$178,910","$575,570","$432,280","$461,880","$470,930","$500,430","$390,200"
QN 09,Kew Gardens/Woodhaven,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,226.2,153.9,290.1,307.4,318.0,338.8
QN 09,Kew Gardens/Woodhaven,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,235.8,157.3,308.9,329.0,335.0,330.0
QN 09,Kew Gardens/Woodhaven,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,250.3,162.8,318.1,455.8,301.2,376.8
QN 09,Kew Gardens/Woodhaven,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,275.3,239.0,381.4,364.2,363.7,331.1
QN 09,Kew Gardens/Woodhaven,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,231.8,157.3,301.5,318.3,326.5,332.9
QN 09,Kew Gardens/Woodhaven,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,64,0,5,48,142,125,119
QN 09,Kew Gardens/Woodhaven,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,41,382,51,43,49,14,150
QN 09,Kew Gardens/Woodhaven,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,29.2,28.6,30.3,30.3,28.7,
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,9
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,1
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,65
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,2
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,143
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,0.0%
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,15
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,345
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,2
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,182
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,4
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,1
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,26
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,2
QN 09,Kew Gardens/Woodhaven,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,182
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",55.9%,62.3%,60.6%,59.6%,54.9%,55.1%,
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,44.4,42.7,44.4,46.6,42.0,44.0,
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,12.6,10.4,4.7,6.9,8.9,8.6
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,8.7,6.9,2.5,4.3,5.1,5.0
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.0,3.6,2.1,2.5,3.8,3.6
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,55.5%,,42.7%,52.0%
QN 09,Kew Gardens/Woodhaven,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,56.5%,,43.8%,57.6%
