Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,7.6%,5.1%,4.5%,4.9%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,36.9%,19.6%,15.2%,17.8%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,74.3%,52.6%,47.0%,52.8%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,24.8%,21.9%,17.5%,21.2%,21.6%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,27.3%,25.5%,24.5%,24.7%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,32.7%,36.7%,36.4%,35.8%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,23.7%,,27.6%,24.3%,22.6%,23.4%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,44.6%,46.3%,47.4%,45.1%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,4.2%,8.1%,7.4%,5.7%,
BK 01,Greenpoint/Williamsburg,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,8.6%,8.7%,,,
BK 01,Greenpoint/Williamsburg,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"55,769","65,586","69,661","77,305","89,534",
BK 01,Greenpoint/Williamsburg,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",5.2,5.2,11.9,3.2,3.6,3.9,
BK 01,Greenpoint/Williamsburg,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,56,70,211,69,85,88,
BK 01,Greenpoint/Williamsburg,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,27,37,143,23,31,34,
BK 01,Greenpoint/Williamsburg,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,7,14,25,30,29,33,
BK 01,Greenpoint/Williamsburg,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,17.2,12.7,21.6,16.2
BK 01,Greenpoint/Williamsburg,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,281,218,368,282
BK 01,Greenpoint/Williamsburg,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,5,0,0,,,,
BK 01,Greenpoint/Williamsburg,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,17.3%,0.4%,0.5%,0.6%,
BK 01,Greenpoint/Williamsburg,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,3.8%,0.4%,0.8%,0.3%,0.8%,
BK 01,Greenpoint/Williamsburg,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,23.2%,1.7%,1.3%,0.4%,0.0%,
BK 01,Greenpoint/Williamsburg,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,40.1,40.4,26.9,40.0,33.3,
BK 01,Greenpoint/Williamsburg,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,59.5%,4.8%,19.5%,16.1%,18.8%,
BK 01,Greenpoint/Williamsburg,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,2.4%,48.3%,1.4%,1.9%,3.2%,
BK 01,Greenpoint/Williamsburg,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,23.1,10.3,15.9,40.4,12.3,
BK 01,Greenpoint/Williamsburg,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,12,16,12,10,12,10,14
BK 01,Greenpoint/Williamsburg,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,131,163,74,68,81,141,101
BK 01,Greenpoint/Williamsburg,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,63,81,54,46,72,93,69
BK 01,Greenpoint/Williamsburg,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,72,737,761,606,804,590,431
BK 01,Greenpoint/Williamsburg,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,278,997,901,730,969,834,615
BK 01,Greenpoint/Williamsburg,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$417,270","$867,370","$905,040","$1,823,190","$1,988,370","$2,416,480","$1,199,500"
BK 01,Greenpoint/Williamsburg,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$188,200","$419,460","$377,660","$905,520","$771,110","$864,330","$800,000"
BK 01,Greenpoint/Williamsburg,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$66,160","$180,550","$167,110","$463,820","$415,610","$453,050","$450,000"
BK 01,Greenpoint/Williamsburg,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$468,150","$736,790","$677,780","$1,232,830","$1,214,500","$1,210,890","$1,175,000"
BK 01,Greenpoint/Williamsburg,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,238.5,249.9,621.2,633.0,755.5,472.2
BK 01,Greenpoint/Williamsburg,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,252.7,218.7,676.8,747.2,776.2,762.4
BK 01,Greenpoint/Williamsburg,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,288.0,300.8,771.9,757.2,816.6,953.7
BK 01,Greenpoint/Williamsburg,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,138.3,119.6,231.4,240.4,252.4,259.5
BK 01,Greenpoint/Williamsburg,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,271.6,243.5,492.3,514.5,551.6,573.1
BK 01,Greenpoint/Williamsburg,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,757,0,221,"1,843","1,449","5,408",667
BK 01,Greenpoint/Williamsburg,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,114,942,"2,496","1,985",638,"1,988","2,306"
BK 01,Greenpoint/Williamsburg,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,34.3,35.5,36.7,38.7,45.3,
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,483
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,26
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,"1,697"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,35
BK 01,Greenpoint/Williamsburg,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,"1,806"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,43
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,"3,387"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,35
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,"6,896"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,9.6%
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,11
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,"4,021"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,688
BK 01,Greenpoint/Williamsburg,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"18,767"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,63
BK 01,Greenpoint/Williamsburg,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,"1,615"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,243
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,17
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,585
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,16
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"1,388"
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,52
BK 01,Greenpoint/Williamsburg,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"6,330"
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",76.6%,79.3%,85.2%,85.8%,75.0%,83.7%,
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,35.3,33.4,31.5,34.5,34.6,34.6,
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,17.9,15.2,11.8,11.0,14.3,14.3
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,12.8,10.6,8.5,8.4,10.7,10.8
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,5.1,4.6,3.3,2.6,3.6,3.5
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,54.6%,,41.5%,59.4%
BK 01,Greenpoint/Williamsburg,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,57.8%,,37.0%,54.7%
