Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 04,Elmhurst/Corona,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.4,3.8,3.6,4.6,4.2,
QN 04,Elmhurst/Corona,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,21.8%,25.9%,27.6%,23.6%,24.8%,25.7%,
QN 04,Elmhurst/Corona,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$65,490","$60,440","$55,200","$77,720","$69,900","$66,480",
QN 04,Elmhurst/Corona,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$84,930","$80,540","$97,390","$75,600","$74,080",
QN 04,Elmhurst/Corona,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$54,020","$48,690","$71,890","$65,240","$62,340",
QN 04,Elmhurst/Corona,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,19.2%,18.8%,19.2%,10.2%,14.6%,17.9%,
QN 04,Elmhurst/Corona,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,22.7%,13.4%,15.2%,20.7%,17.2%,
QN 04,Elmhurst/Corona,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,25.7%,26.3%,14.6%,17.1%,29.2%,
QN 04,Elmhurst/Corona,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,64.4%,64.0%,69.1%,62.5%,66.2%,
QN 04,Elmhurst/Corona,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,31.5%,30.0%,24.7%,29.5%,28.6%,
QN 04,Elmhurst/Corona,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",9.3%,5.3%,8.5%,3.6%,9.9%,5.5%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.7%,1.3%,1.3%,1.7%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,19.5,19.7,36.8,46.4,56.7,78.6
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,9.8%,11.3%,11.3%,12.4%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,130.4,112.2,128.1,226.8,238.5,269.4
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,450","$1,490","$1,670","$1,700",
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,790","$1,940","$2,120","$2,170",
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,340","$1,580","$1,670","$1,890","$1,870","$1,830",
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,750","$1,930","$2,020","$2,080",
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,3.0%,,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,2.2%,3.2%,6.3%,7.7%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,56.6%,61.1%,63.0%,68.7%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,98.4%,99.3%,100.0%,99.2%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,29.2%,24.3%,26.1%,23.7%,26.3%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,36.4%,34.6%,32.7%,32.2%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,10.1%,10.5%,9.4%,9.8%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,22.8%,,33.2%,33.3%,31.6%,31.3%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,47.3%,43.4%,44.6%,43.2%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.3%,0.2%,0.7%,0.9%,
QN 04,Elmhurst/Corona,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,2.1%,1.6%,,,
QN 04,Elmhurst/Corona,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"48,387","47,382","48,372","48,614","56,790",
QN 04,Elmhurst/Corona,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",4.3,6.2,16.1,2.8,6.2,2.5,
QN 04,Elmhurst/Corona,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,48,74,193,35,84,30,
QN 04,Elmhurst/Corona,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,33,65,147,13,58,17,
QN 04,Elmhurst/Corona,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,11,4,37,20,16,13,
QN 04,Elmhurst/Corona,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,26.3,13.0,24.6,16.4
QN 04,Elmhurst/Corona,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,311,159,300,201
QN 04,Elmhurst/Corona,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,7,4,9,,,,
QN 04,Elmhurst/Corona,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.2%,9.3%,0.5%,2.2%,1.4%,
QN 04,Elmhurst/Corona,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,22.5%,1.9%,2.6%,7.5%,5.2%,
QN 04,Elmhurst/Corona,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,31.3%,1.5%,4.5%,2.7%,3.5%,
QN 04,Elmhurst/Corona,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,54.8,17.7,12.4,20.3,18.2,
QN 04,Elmhurst/Corona,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,69.1%,27.1%,74.4%,74.6%,71.6%,
QN 04,Elmhurst/Corona,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,9.8%,63.0%,13.6%,26.6%,26.7%,
QN 04,Elmhurst/Corona,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,36.1,8.6,8.5,18.6,7.2,
QN 04,Elmhurst/Corona,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,114,136,41,39,35,41,43
QN 04,Elmhurst/Corona,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,393,449,164,142,111,179,134
QN 04,Elmhurst/Corona,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,30,40,12,14,15,16,26
QN 04,Elmhurst/Corona,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,59,146,117,70,59,144,64
QN 04,Elmhurst/Corona,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,596,771,334,265,220,380,267
QN 04,Elmhurst/Corona,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$414,630","$814,110","$701,840","$949,220","$936,350","$903,260","$878,000"
QN 04,Elmhurst/Corona,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$224,960","$444,990","$349,250","$503,550","$514,080","$512,190","$466,670"
QN 04,Elmhurst/Corona,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$131,870","$205,420","$185,600","$267,790","$236,050","$199,180","$295,990"
QN 04,Elmhurst/Corona,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$228,880","$397,570","$388,370","$554,820","$523,260","$598,310","$429,000"
QN 04,Elmhurst/Corona,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,234.5,196.3,329.1,396.6,421.0,333.3
QN 04,Elmhurst/Corona,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,238.4,185.1,327.3,369.1,346.6,283.9
QN 04,Elmhurst/Corona,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,200.6,190.1,188.5,305.0,297.1,293.0
QN 04,Elmhurst/Corona,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,260.0,243.3,424.6,434.5,439.6,401.3
QN 04,Elmhurst/Corona,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,236.3,193.8,332.6,365.5,357.2,308.4
QN 04,Elmhurst/Corona,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,210,0,231,123,40,151,102
QN 04,Elmhurst/Corona,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,138,416,282,344,314,148,140
QN 04,Elmhurst/Corona,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,38.4,37.8,43.3,38.1,44.5,
QN 04,Elmhurst/Corona,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,30
QN 04,Elmhurst/Corona,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,2
QN 04,Elmhurst/Corona,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,151
QN 04,Elmhurst/Corona,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,5
QN 04,Elmhurst/Corona,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,513
QN 04,Elmhurst/Corona,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,1
QN 04,Elmhurst/Corona,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,68
QN 04,Elmhurst/Corona,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
QN 04,Elmhurst/Corona,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
QN 04,Elmhurst/Corona,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,0.0%
QN 04,Elmhurst/Corona,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,0
QN 04,Elmhurst/Corona,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,0
QN 04,Elmhurst/Corona,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,165
QN 04,Elmhurst/Corona,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"2,562"
QN 04,Elmhurst/Corona,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,1
QN 04,Elmhurst/Corona,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,68
QN 04,Elmhurst/Corona,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,21
QN 04,Elmhurst/Corona,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,1
QN 04,Elmhurst/Corona,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,6
QN 04,Elmhurst/Corona,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,2
QN 04,Elmhurst/Corona,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,205
QN 04,Elmhurst/Corona,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,4
QN 04,Elmhurst/Corona,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,370
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",70.7%,75.4%,74.7%,79.9%,78.7%,74.4%,
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,41.7,43.3,42.0,44.1,39.8,41.4,
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,12.3,9.2,8.0,11.7,12.2,14.7
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,8.4,5.6,4.5,8.0,7.2,8.2
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,3.9,3.6,3.5,3.7,5.0,6.5
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,44.5%,,34.1%,38.8%
QN 04,Elmhurst/Corona,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,46.8%,,30.7%,38.3%
