Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
QN 05,Ridgewood/Maspeth,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.3,4.0,4.4,3.8,4.1,
QN 05,Ridgewood/Maspeth,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,40.5%,45.1%,40.4%,40.7%,39.8%,38.7%,
QN 05,Ridgewood/Maspeth,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$74,590","$73,650","$71,200","$84,250","$76,810","$89,440",
QN 05,Ridgewood/Maspeth,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$96,310","$87,650","$105,590","$94,160","$92,410",
QN 05,Ridgewood/Maspeth,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$60,240","$62,470","$75,770","$69,160","$88,080",
QN 05,Ridgewood/Maspeth,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,13.8%,10.6%,17.1%,8.4%,13.9%,11.3%,
QN 05,Ridgewood/Maspeth,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,9.4%,12.9%,12.7%,14.5%,12.3%,
QN 05,Ridgewood/Maspeth,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,13.3%,26.5%,9.8%,21.9%,14.5%,
QN 05,Ridgewood/Maspeth,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,61.3%,60.2%,65.5%,63.3%,66.5%,
QN 05,Ridgewood/Maspeth,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,20.6%,22.1%,13.7%,16.9%,15.3%,
QN 05,Ridgewood/Maspeth,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",7.3%,6.5%,7.9%,3.1%,11.4%,3.7%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.7%,3.5%,3.7%,3.6%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,22.7,17.3,42.1,54.3,48.2,62.1
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,2.1%,2.5%,2.3%,2.3%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,127.7,93.1,146.6,260.0,237.1,248.1
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,360","$1,530","$1,620","$1,680",
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,640","$1,830","$1,990","$2,080",
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,300","$1,530","$1,670","$1,930","$1,930","$1,900",
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,700","$2,040","$2,290","$2,340",
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,8.6%,,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,1.4%,2.1%,2.6%,3.2%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,72.7%,59.0%,62.0%,65.3%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,99.7%,93.7%,95.7%,98.9%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,24.2%,23.0%,23.7%,29.4%,23.1%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,38.7%,33.4%,35.5%,34.5%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,9.1%,11.4%,11.9%,12.5%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,22.0%,,27.3%,23.8%,23.7%,23.5%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,44.0%,43.5%,41.8%,40.4%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,0.4%,0.4%,0.1%,0.0%,
QN 05,Ridgewood/Maspeth,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,2.6%,1.4%,,,
QN 05,Ridgewood/Maspeth,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"67,306","67,649","64,322","68,588","72,203",
QN 05,Ridgewood/Maspeth,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",3.3,4.9,10.3,3.9,1.9,2.2,
QN 05,Ridgewood/Maspeth,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,92,141,299,109,62,69,
QN 05,Ridgewood/Maspeth,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,67,92,225,54,22,30,
QN 05,Ridgewood/Maspeth,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,17,37,49,51,29,29,
QN 05,Ridgewood/Maspeth,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,28.8,14.5,25.1,20.8
QN 05,Ridgewood/Maspeth,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,766,387,670,558
QN 05,Ridgewood/Maspeth,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,14,4,13,,,,
QN 05,Ridgewood/Maspeth,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.4%,25.9%,8.0%,10.0%,6.3%,
QN 05,Ridgewood/Maspeth,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,21.8%,0.5%,6.9%,5.6%,4.1%,
QN 05,Ridgewood/Maspeth,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,24.4%,1.9%,2.6%,0.8%,0.8%,
QN 05,Ridgewood/Maspeth,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,36.4,20.7,18.5,28.6,23.7,
QN 05,Ridgewood/Maspeth,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,15.6%,8.0%,4.5%,4.6%,12.6%,
QN 05,Ridgewood/Maspeth,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,1.5%,14.3%,4.7%,6.4%,7.2%,
QN 05,Ridgewood/Maspeth,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,41.0,19.2,19.5,48.1,13.4,
QN 05,Ridgewood/Maspeth,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,352,382,207,229,310,307,248
QN 05,Ridgewood/Maspeth,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,638,689,342,338,389,549,342
QN 05,Ridgewood/Maspeth,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,74,62,32,27,45,58,30
QN 05,Ridgewood/Maspeth,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,15,68,38,23,49,48,33
QN 05,Ridgewood/Maspeth,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,"1,079","1,201",619,617,793,962,653
QN 05,Ridgewood/Maspeth,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$420,800","$735,690","$655,050","$843,880","$848,220","$844,080","$792,000"
QN 05,Ridgewood/Maspeth,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$216,140","$412,160","$316,500","$487,920","$484,700","$477,590","$453,250"
QN 05,Ridgewood/Maspeth,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$72,780","$164,740","$145,380","$282,160","$233,170","$219,540","$192,250"
QN 05,Ridgewood/Maspeth,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$247,010","$540,720","$456,740","$566,060","$545,290","$518,700","$499,000"
QN 05,Ridgewood/Maspeth,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,200.2,190.9,315.6,322.5,332.1,329.6
QN 05,Ridgewood/Maspeth,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,234.7,190.4,346.8,370.8,373.3,359.6
QN 05,Ridgewood/Maspeth,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,234.0,219.6,517.5,548.7,510.6,479.7
QN 05,Ridgewood/Maspeth,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,242.0,185.7,324.3,337.4,343.5,294.1
QN 05,Ridgewood/Maspeth,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,224.2,193.9,342.2,356.7,367.0,350.2
QN 05,Ridgewood/Maspeth,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,101,2,28,102,207,12,50
QN 05,Ridgewood/Maspeth,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,140,268,186,169,103,182,157
QN 05,Ridgewood/Maspeth,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,24.5,24.7,22.6,22.9,24.0,
QN 05,Ridgewood/Maspeth,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,12
QN 05,Ridgewood/Maspeth,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,0.0%
QN 05,Ridgewood/Maspeth,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,37
QN 05,Ridgewood/Maspeth,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,677
QN 05,Ridgewood/Maspeth,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,12
QN 05,Ridgewood/Maspeth,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 05,Ridgewood/Maspeth,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,0
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",51.0%,60.3%,58.5%,58.2%,51.6%,55.2%,
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,38.4,40.1,37.8,43.2,42.9,44.8,
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,11.5,10.1,7.7,8.0,9.9,10.0
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,9.0,7.3,5.4,5.9,7.0,7.1
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,2.5,2.8,2.3,2.1,2.9,2.9
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,55.0%,,50.3%,56.6%
QN 05,Ridgewood/Maspeth,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,58.2%,,48.8%,57.4%
