Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 10,Bay Ridge/Dyker Heights,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.49,0.52,0.60,0.63,0.64,0.62,
BK 10,Bay Ridge/Dyker Heights,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.5,4.5,4.6,4.7,5.1,
BK 10,Bay Ridge/Dyker Heights,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,33.6%,40.0%,36.9%,38.6%,41.7%,38.8%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$78,230","$80,380","$64,660","$88,630","$81,110","$84,410",
BK 10,Bay Ridge/Dyker Heights,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$109,400","$95,600","$127,010","$109,120","$110,750",
BK 10,Bay Ridge/Dyker Heights,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$66,380","$55,390","$75,970","$70,270","$72,870",
BK 10,Bay Ridge/Dyker Heights,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,13.9%,13.7%,15.3%,14.2%,15.7%,12.5%,
BK 10,Bay Ridge/Dyker Heights,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,14.6%,15.5%,16.7%,13.1%,16.6%,
BK 10,Bay Ridge/Dyker Heights,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,18.9%,22.6%,16.7%,23.3%,13.3%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,61.2%,60.8%,60.4%,61.2%,61.5%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,17.6%,23.0%,15.9%,16.7%,16.9%,
BK 10,Bay Ridge/Dyker Heights,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",6.1%,8.1%,9.1%,3.6%,11.5%,3.8%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,3.8%,6.4%,5.0%,4.0%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,19.3,22.9,42.2,57.1,62.4,92.5
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,3.3%,5.4%,5.4%,5.6%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,106.0,102.4,168.5,293.3,293.9,348.7
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,350","$1,570","$1,640","$1,650",
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,750","$1,860","$2,030","$2,050",
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,340","$1,460","$1,570","$1,870","$1,790","$1,710",
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,640","$1,900","$2,070","$2,110",
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,3.2%,,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,1.1%,2.6%,1.9%,1.7%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,64.8%,69.7%,64.1%,71.8%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,96.2%,97.4%,96.7%,96.3%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,20.8%,23.8%,17.4%,20.8%,20.8%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,35.8%,29.4%,30.2%,29.5%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,18.9%,8.1%,11.4%,8.7%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,21.2%,,25.8%,28.4%,29.4%,29.0%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,43.6%,51.0%,48.2%,46.0%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,1.0%,0.4%,0.0%,0.0%,
BK 10,Bay Ridge/Dyker Heights,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,1.7%,0.9%,,,
BK 10,Bay Ridge/Dyker Heights,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"51,436","54,709","53,435","50,104","51,646",
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",2.1,2.4,5.2,3.6,2.6,3.4,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,35,37,80,59,39,57,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,20,24,54,27,13,25,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,9,10,23,27,25,25,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,18.8,8.3,20.0,14.2
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,278,123,296,214
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,1,0,0,,,,
BK 10,Bay Ridge/Dyker Heights,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,6.2%,1.4%,0.6%,1.0%,
BK 10,Bay Ridge/Dyker Heights,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,4.5%,0.4%,3.3%,3.4%,2.8%,
BK 10,Bay Ridge/Dyker Heights,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,15.5%,2.1%,3.5%,0.9%,2.8%,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,33.7,20.5,19.4,28.5,27.9,
BK 10,Bay Ridge/Dyker Heights,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,14.0%,9.5%,12.2%,15.0%,13.7%,
BK 10,Bay Ridge/Dyker Heights,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,4.4%,10.2%,7.5%,7.8%,11.8%,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,24.2,19.6,14.4,38.5,9.7,
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,199,172,135,123,112,178,147
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,229,250,145,122,112,239,212
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,16,26,28,15,26,32,18
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,58,86,59,49,41,58,58
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,502,534,367,309,291,507,435
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$579,600","$943,890","$868,950","$1,134,430","$1,156,670","$1,179,950","$1,100,000"
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$299,060","$490,950","$467,900","$714,810","$660,950","$659,280","$647,500"
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$102,280","$184,540","$174,900","$289,400","$240,510","$235,760","$205,270"
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$384,650","$688,330","$481,260","$752,430","$743,570","$726,760","$671,330"
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,200.9,209.9,321.8,344.5,343.0,359.3
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,204.7,202.6,382.2,367.4,361.5,387.0
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,125.1,186.9,423.3,497.3,421.2,268.0
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,199.4,193.6,274.7,254.0,290.2,273.4
BK 10,Bay Ridge/Dyker Heights,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,200.2,206.9,337.7,350.1,349.3,362.3
BK 10,Bay Ridge/Dyker Heights,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,99,0,9,188,13,24,21
BK 10,Bay Ridge/Dyker Heights,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,90,99,23,30,17,195,21
BK 10,Bay Ridge/Dyker Heights,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,32.1,35.7,31.7,29.1,30.3,
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,11
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,1
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,86
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,2
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,558
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,1
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,0
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,0
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,0.0%
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,3
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,"1,369"
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,23
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,223
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,1
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,558
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,3
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,1
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,86
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,2
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,811
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,2
BK 10,Bay Ridge/Dyker Heights,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,558
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",59.4%,64.5%,62.5%,67.1%,62.1%,62.5%,
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,41.2,40.9,41.6,44.4,43.3,43.7,
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,11.6,7.5,6.2,5.8,6.4,6.3
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,9.3,5.8,4.6,4.7,5.2,4.7
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,2.2,1.7,1.6,1.0,1.2,1.6
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,66.7%,,61.7%,71.6%
BK 10,Bay Ridge/Dyker Heights,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,74.0%,,65.2%,77.4%
