Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 02,Fort Greene/Brooklyn Heights,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$74,770","$80,180","$95,970","$129,120","$132,800","$136,230",
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$124,510","$157,140","$168,390","$169,430","$224,960",
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$59,900","$75,420","$108,330","$113,400","$117,360",
BK 02,Fort Greene/Brooklyn Heights,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,24.5%,20.4%,18.1%,13.8%,12.5%,12.9%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,15.4%,16.5%,28.8%,14.6%,15.4%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,26.2%,22.8%,15.6%,15.1%,17.2%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,65.1%,69.9%,73.5%,74.5%,72.7%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,13.4%,12.7%,9.3%,6.9%,6.5%,
BK 02,Fort Greene/Brooklyn Heights,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",10.7%,6.8%,10.4%,6.3%,8.6%,2.8%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,4.8%,3.4%,3.9%,4.4%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,24.8,10.6,24.8,28.1,30.7,36.6
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,2.7%,3.8%,4.0%,3.8%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,138.0,49.0,101.7,169.0,152.5,160.4
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,650","$2,370","$2,730","$2,850",
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$1,420","$1,970","$2,550","$2,740",
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,200","$1,370","$1,850","$2,570","$2,750","$2,850",
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,330","$3,140","$3,400","$3,460",
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,8.8%,,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,8.5%,6.2%,3.6%,1.7%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,26.4%,18.2%,13.9%,13.6%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,64.0%,46.1%,47.4%,49.4%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,20.7%,21.6%,20.4%,21.8%,20.7%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,25.9%,27.3%,26.4%,26.3%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,25.1%,43.6%,46.5%,45.2%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,18.6%,,20.4%,19.2%,19.9%,20.8%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,40.7%,40.3%,44.8%,48.5%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,4.5%,6.6%,9.5%,10.1%,
BK 02,Fort Greene/Brooklyn Heights,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,2.1%,2.2%,,,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"55,999","60,967","69,023","76,605","68,295",
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",12.7,6.8,9.6,3.8,2.5,2.4,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,84,59,105,55,34,45,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,46,35,60,19,12,11,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,13,11,29,24,18,20,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,21.0,10.1,18.3,13.3
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,239,132,238,179
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,3,1,2,,,,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,11.3%,0.1%,0.1%,0.2%,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,6.7%,0.7%,0.9%,0.4%,0.2%,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,21.9%,0.8%,1.1%,0.3%,0.8%,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,48.4,44.1,26.2,60.1,43.3,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,19.1%,3.7%,6.0%,7.6%,1.6%,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,3.0%,34.2%,2.0%,1.9%,2.7%,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,30.6,29.4,21.7,50.2,13.6,
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,20,21,22,13,18,35,29
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,172,135,63,55,86,113,83
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,27,62,31,31,33,42,26
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,42,351,641,332,727,962,456
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,261,569,757,431,864,"1,152",594
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$1,040,980","$3,186,420","$2,984,510","$3,820,020","$3,386,840","$4,931,600","$4,325,000"
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$301,150","$813,380","$577,070","$1,196,170","$1,234,700","$1,232,900","$1,085,000"
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$110,270","$210,740","$162,330","$460,000","$535,500","$540,160","$496,800"
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$388,160","$1,051,640","$816,750","$1,446,980","$1,310,890","$1,537,520","$1,550,000"
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,191.7,215.5,309.7,468.3,365.2,515.6
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,275.1,239.1,576.2,572.6,588.9,581.6
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,236.9,230.5,620.1,522.5,602.6,649.0
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,258.5,243.8,430.0,438.4,455.7,453.4
BK 02,Fort Greene/Brooklyn Heights,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,262.4,250.9,460.2,462.8,486.2,492.8
BK 02,Fort Greene/Brooklyn Heights,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,151,0,380,"2,153","1,240","5,111",439
BK 02,Fort Greene/Brooklyn Heights,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,86,488,"1,079","1,353","2,700","1,137","1,599"
BK 02,Fort Greene/Brooklyn Heights,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,35.9,40.3,42.8,47.3,43.7,
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,187
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,4
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,712
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,8
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,557
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,32
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,"4,965"
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,8
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,"3,882"
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,11.4%
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,8
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,"2,157"
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,127
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"13,425"
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,23
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,"1,184"
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,94
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,4
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,721
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,10
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"1,537"
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,28
BK 02,Fort Greene/Brooklyn Heights,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"4,246"
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",81.5%,84.7%,87.3%,88.1%,77.6%,83.2%,
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,35.7,34.3,35.2,34.8,33.5,33.1,
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,24.8,21.3,21.6,14.5,17.8,18.6
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,17.1,14.5,15.0,10.0,12.8,12.7
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,7.7,6.8,6.6,4.5,5.0,5.9
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,63.4%,,57.2%,66.9%
BK 02,Fort Greene/Brooklyn Heights,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,56.0%,,54.8%,60.0%
