Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
BK 06,Park Slope/Carroll Gardens,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",,4.4,5.7,4.9,5.8,7.8,
BK 06,Park Slope/Carroll Gardens,Demographics,Homeownership rate,The number of owner-occupied units divided by the total number of occupied housing units.,28.7%,34.7%,36.0%,39.5%,35.8%,36.8%,
BK 06,Park Slope/Carroll Gardens,Demographics,Median household income (2023$),The median household's total income of all members of the household aged 15 years or older.,"$96,420","$108,260","$110,880","$179,710","$159,440","$162,420",
BK 06,Park Slope/Carroll Gardens,Demographics,"Median household income, homeowners (2023$)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,,"$163,800","$165,180","$260,770","$237,080","$221,240",
BK 06,Park Slope/Carroll Gardens,Demographics,"Median household income, renters (2023$)",The median renter household's total income of all members of the household aged 15 years or older.,,"$90,590","$83,220","$142,730","$118,890","$137,010",
BK 06,Park Slope/Carroll Gardens,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,14.4%,12.0%,11.3%,7.6%,7.2%,9.3%,
BK 06,Park Slope/Carroll Gardens,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,,21.5%,16.7%,13.1%,10.2%,13.2%,
BK 06,Park Slope/Carroll Gardens,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,,17.1%,13.3%,6.6%,5.3%,6.6%,
BK 06,Park Slope/Carroll Gardens,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",,74.4%,76.7%,77.1%,78.3%,77.0%,
BK 06,Park Slope/Carroll Gardens,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,,12.0%,9.5%,5.4%,4.9%,7.6%,
BK 06,Park Slope/Carroll Gardens,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",5.5%,5.1%,7.9%,3.4%,8.8%,4.8%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Rental vacancy rate,"The number of vacant, habitable, for-rent units divided by the number of renter-occupied units plus vacant, habitable, for-rent units.",,,2.5%,3.1%,5.3%,4.6%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Serious housing code violations (per 1,000 privately owned rental units)","All violations that HPD defines as class C ('immediately hazardous') that were opened in a given time period, regardless of their current status. NOTE: In 2018 some violation types relating to pests were reclassified from B to C class resulting in a shift in the number of violations from B to C.",,20.3,18.0,25.7,46.2,38.3,49.0
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Severe crowding rate (% of renter households),The share of all renter households in which there are more than 1.5 household members for each room in the unit.,,,1.6%,2.5%,2.4%,2.1%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Total housing code violations (per 1,000 privately owned rental units)","All HPD violations defined as class A ('non-hazardous'), class B ('hazardous'), and class C ('immediately hazardous') that were opened in a given time period, regardless of their current status.",,115.5,76.9,110.2,314.1,266.4,283.1
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Median rent, studios and 1-bedrooms (2023$)","The median gross rent among studios and 1-bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,050","$2,320","$2,430","$2,440",
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Median rent, 2- and 3-bedrooms (2023$)","The median gross rent among 2-3 bedroom units, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,170","$2,890","$3,070","$3,180",
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Median rent, all (2023$)","The median gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.","$1,550","$1,950","$2,180","$2,700","$2,700","$2,730",
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,600","$2,990","$3,160","$3,230",
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,7.8%,,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,2.8%,2.1%,2.2%,1.7%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,10.1%,15.2%,14.8%,14.9%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,55.5%,59.6%,60.3%,64.9%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,19.0%,25.7%,19.4%,23.0%,15.4%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,30.1%,24.1%,31.3%,30.2%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,42.1%,49.3%,42.4%,41.1%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,18.4%,,17.1%,17.2%,14.5%,15.1%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,40.7%,47.1%,42.6%,42.7%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,5.1%,3.7%,3.3%,1.7%,
BK 06,Park Slope/Carroll Gardens,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,1.2%,0.9%,,,
BK 06,Park Slope/Carroll Gardens,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"50,284","55,234","50,019","56,647","53,516",
BK 06,Park Slope/Carroll Gardens,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",3.8,3.9,4.4,2.3,0.9,3.2,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,43,48,69,34,14,53,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,23,33,38,15,8,29,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,13,10,17,16,5,15,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,13.5,8.2,16.4,11.2
BK 06,Park Slope/Carroll Gardens,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,182,114,228,157
BK 06,Park Slope/Carroll Gardens,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,4,1,0,,,,
BK 06,Park Slope/Carroll Gardens,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.1%,6.4%,0.0%,0.2%,0.1%,
BK 06,Park Slope/Carroll Gardens,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,4.1%,0.7%,0.5%,0.6%,0.1%,
BK 06,Park Slope/Carroll Gardens,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,14.5%,1.2%,0.5%,0.3%,0.8%,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,49.8,42.7,32.9,60.4,43.9,
BK 06,Park Slope/Carroll Gardens,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,7.8%,6.0%,0.3%,0.4%,3.8%,
BK 06,Park Slope/Carroll Gardens,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,1.7%,19.7%,0.6%,1.1%,1.3%,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,30.2,38.6,28.9,63.2,18.7,
BK 06,Park Slope/Carroll Gardens,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,33,28,28,22,45,41,37
BK 06,Park Slope/Carroll Gardens,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,226,293,166,111,173,213,181
BK 06,Park Slope/Carroll Gardens,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,35,54,37,24,42,50,32
BK 06,Park Slope/Carroll Gardens,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,136,317,404,313,519,462,224
BK 06,Park Slope/Carroll Gardens,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,430,692,635,470,779,766,474
BK 06,Park Slope/Carroll Gardens,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$749,860","$1,841,970","$1,997,920","$2,918,710","$4,130,960","$3,628,620","$3,475,000"
BK 06,Park Slope/Carroll Gardens,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$337,440","$693,020","$683,460","$1,157,200","$1,175,030","$1,142,050","$1,100,000"
BK 06,Park Slope/Carroll Gardens,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$110,050","$207,540","$216,250","$723,490","$381,650","$579,100","$603,800"
BK 06,Park Slope/Carroll Gardens,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$438,320","$958,220","$840,480","$1,580,100","$1,365,970","$1,653,380","$1,536,690"
BK 06,Park Slope/Carroll Gardens,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,240.5,219.4,439.3,452.9,536.3,516.8
BK 06,Park Slope/Carroll Gardens,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,246.9,257.6,451.1,505.8,548.2,604.6
BK 06,Park Slope/Carroll Gardens,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,248.3,326.9,774.8,629.0,857.7,843.3
BK 06,Park Slope/Carroll Gardens,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,261.8,252.3,425.7,454.5,494.5,485.7
BK 06,Park Slope/Carroll Gardens,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,257.6,263.3,456.0,485.3,543.3,549.1
BK 06,Park Slope/Carroll Gardens,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,101,0,15,185,208,"7,517",304
BK 06,Park Slope/Carroll Gardens,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,34,180,465,67,133,181,224
BK 06,Park Slope/Carroll Gardens,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,27.5,29.9,28.5,29.4,27.0,
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,108
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,0
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,0
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,2
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,126
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,22
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,682
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,7
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,"4,981"
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,11.7%
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,0
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,0
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,105
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"3,947"
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,23
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,245
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,49
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,8
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,158
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,9
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,111
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,6
BK 06,Park Slope/Carroll Gardens,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,438
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",81.5%,82.9%,88.6%,87.4%,81.6%,81.8%,
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,37.9,37.4,37.5,39.9,35.5,36.6,
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,16.1,12.9,9.2,9.5,11.9,10.9
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,11.6,9.7,7.0,6.9,8.8,7.8
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.6,3.3,2.2,2.6,3.2,3.1
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,73.8%,,75.0%,79.7%
BK 06,Park Slope/Carroll Gardens,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,70.4%,,73.1%,78.7%
