Community District,Name,Indicator Category,Indicator, Indicator Description,2000,2006,2010,2019,2021,2022,2023
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Median rent, recent movers (2023$)","The median recent mover household's gross rent, which includes the amount agreed to or specified in the lease regardless of whether furnishings, utilities, or services are included; and estimated monthly electricity and heating fuel costs paid by the renter.",,,"$2,380","$2,890","$2,910","$2,850",
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Change in collected rent (2019-2020),The change in rent collection for buildings with rent regulated units (2019-2020).,,,,,12.6%,,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Rental units affordable at  30% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 30 of the Area Median Income.",,,4.4%,7.2%,7.1%,8.0%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Rental units affordable at  80% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 80 of the Area Median Income.",,,30.2%,23.7%,30.3%,34.3%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Rental units affordable at 120% AMI (% of recently available units),"The share of occupied, recently available rental units that are affordable to appropriately sized households with incomes at 120% of the Area Median Income.",,,57.2%,55.3%,58.8%,63.9%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Moderately rent-burdened households,The share of renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,22.3%,25.6%,27.9%,27.7%,23.5%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Moderately rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,28.3%,31.5%,30.0%,29.1%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Moderately rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 30 percent of their monthly pre-tax income.,,,25.6%,42.1%,33.4%,28.8%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,Severely rent-burdened households,The share of renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,19.9%,,24.3%,23.8%,24.0%,24.1%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Severely rent-burdened households, low income",The share of low-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,35.7%,35.9%,37.2%,37.8%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Severely rent-burdened households, moderate income",The share of moderate-income renter households whose gross rent made up at least 50 percent of their monthly pre-tax income.,,,10.8%,5.1%,3.8%,3.7%,
MN 03,Lower East Side/Chinatown,Renters and Rental Conditions,"Housing choice vouchers (% of occupied, privately owned rental units)",The share of all rental households in privately owned units whose occupants use a housing choice voucher from HUD.,,,3.3%,2.3%,,,
MN 03,Lower East Side/Chinatown,Housing Market,Housing units,"The number of housings units, which can include a house, apartment, mobile home, group of rooms, or single room that is occupied (or is vacant and intended for occupancy) as separate living quarters.",,"79,337","77,816","83,942","78,468","81,731",
MN 03,Lower East Side/Chinatown,Housing Market,"Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","The rate of mortgage foreclosure actions initiated per 1,000 1-4 family properties and condominium units.",1.5,0.8,3.9,0.9,1.1,0.2,
MN 03,Lower East Side/Chinatown,Housing Market,"Notices of foreclosure, all residential properties",The total number of residential properties that had mortgage foreclosure actions initiated against them.,6,5,24,5,10,5,
MN 03,Lower East Side/Chinatown,Housing Market,"Notices of foreclosure, initial, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had a new filing of mortgage foreclosure actions initiated against them after at least six years without having any such filings.,1,2,10,3,1,0,
MN 03,Lower East Side/Chinatown,Housing Market,"Notices of foreclosure, repeat, 1-4 family and condo properties",The total number of 1-4 family properties and condominiums that had repeat filing of mortgage foreclosure actions initiated against them after already have such a filing in the previous six years.,1,0,2,1,4,1,
MN 03,Lower East Side/Chinatown,Housing Market,"Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","The number of pre-foreclosure notices issued per 1,000 1-4 family homes and condominium units.",,,,9.7,7.1,13.6,10.4
MN 03,Lower East Side/Chinatown,Housing Market,"Pre-foreclosure notices, 1-4 family and condo properties",The total number of pre-foreclosure notices issued to homeowners of 1-4 family homes and condominium units. These notices are sent 90 days prior to starting a foreclosure action.,,,,45,35,67,52
MN 03,Lower East Side/Chinatown,Housing Market,"Properties entering REO, 1-4 family",The total number of 1-4 family buildings that completed the foreclosure process and were acquired by the foreclosing lender.,0,0,0,,,,
MN 03,Lower East Side/Chinatown,Housing Market,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",,0.0%,0.0%,0.0%,0.0%,0.0%,
MN 03,Lower East Side/Chinatown,Housing Market,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,2.2%,0.7%,1.3%,0.4%,1.0%,
MN 03,Lower East Side/Chinatown,Housing Market,Higher-cost refinance loans (% of refinance loans),"The percentage of loan originations, for the refinancing of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",,11.0%,0.3%,0.6%,0.2%,1.4%,
MN 03,Lower East Side/Chinatown,Housing Market,"Home purchase loan rate (per 1,000 properties)","The number of first-lien home purchase loan originations for owner-occupied 1-4 family buildings, condominiums, or cooperative apartments  divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments.",,28.6,14.6,16.9,23.4,20.7,
MN 03,Lower East Side/Chinatown,Housing Market,Home purchase loans in LMI tracts (% of home purchase loans),"The share of all first-lien loans, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartments, that were originated for homes in low- to moderate-income census tracts.",,61.6%,3.4%,47.6%,38.7%,44.4%,
MN 03,Lower East Side/Chinatown,Housing Market,Home purchase loans to LMI borrowers (% of home purchase loans),"The share of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family building, condominium, or cooperative apartment, that were made to low- to moderate-income borrowers.",,1.2%,49.0%,3.7%,2.6%,3.7%,
MN 03,Lower East Side/Chinatown,Housing Market,"Refinance loan rate (per 1,000 properties)","The number of refinance loans for owner-occupied 1-4 family buildings, condominiums, and cooperative apartments divided by the total number of 1-4 family buildings, condominiums, and cooperative apartments in the given geographic.",,10.5,18.3,8.6,24.2,7.4,
MN 03,Lower East Side/Chinatown,Housing Market,"Sales volume, 1 family building",The number of transactions of 1 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,1,4,1,3,1,1,1
MN 03,Lower East Side/Chinatown,Housing Market,"Sales volume, 2-4 family building",The number of transactions of 2-4 family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,2,4,3,3,3,1,1
MN 03,Lower East Side/Chinatown,Housing Market,"Sales volume, 5+ family building",The number of transactions of 5+ family residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,37,87,35,37,45,56,38
MN 03,Lower East Side/Chinatown,Housing Market,"Sales volume, condominium",The number of transactions of condominiums that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,68,277,188,463,323,366,265
MN 03,Lower East Side/Chinatown,Housing Market,"Sales volume, all property types",The number of transactions of all residential properties that have a non-trivial price and the sale must not be marked as 'insignificant' by the Department of Finance.,108,372,227,506,372,424,305
MN 03,Lower East Side/Chinatown,Housing Market,"Median sales price per unit, 1 family building (2023$)",The median price per unit for one unit buildings.,"$1,279,170","$4,318,600","$4,144,220","$8,855,510","$8,261,920","$414,250","$6,500,000"
MN 03,Lower East Side/Chinatown,Housing Market,"Median sales price per unit, 2-4 family building (2023$)",The median price per unit for two- to four-unit buildings.,"$396,980","$947,370","$835,530","$1,056,290","$1,597,310","$2,188,070","$1,216,670"
MN 03,Lower East Side/Chinatown,Housing Market,"Median sales price per unit, 5+ family building (2023$)",The median price per unit for multifamily buildings.,"$106,950","$299,090","$241,370","$549,850","$516,200","$423,080","$319,170"
MN 03,Lower East Side/Chinatown,Housing Market,"Median sales price per unit, condominium (2023$)",The median price per unit for condominiums.,"$328,920","$1,112,480","$1,203,160","$1,758,370","$1,810,330","$1,618,150","$1,448,060"
MN 03,Lower East Side/Chinatown,Housing Market,"Index of housing price appreciation, 1 family building",The average price changes in repeated sales of the same 1 family properties (index=100 in 2000).,100.0,,,,,,
MN 03,Lower East Side/Chinatown,Housing Market,"Index of housing price appreciation, 2-4 family building",The average price changes in repeated sales of the same 2-4 family properties (index=100 in 2000).,100.0,492.3,369.2,275.8,313.5,742.3,
MN 03,Lower East Side/Chinatown,Housing Market,"Index of housing price appreciation, 5+ family building",The average price changes in repeated sales of the same 5+ family properties (index=100 in 2000).,100.0,231.9,254.6,795.4,706.5,682.0,433.7
MN 03,Lower East Side/Chinatown,Housing Market,"Index of housing price appreciation, condominium",The average price changes in repeated sales of the same condominiums (index=100 in 2000).,100.0,242.1,245.2,385.0,353.1,371.3,368.1
MN 03,Lower East Side/Chinatown,Housing Market,"Index of housing price appreciation, all property types",The average price changes in repeated sales of the same properties of any type (index=100 in 2000).,100.0,254.2,269.2,457.2,412.3,437.2,404.5
MN 03,Lower East Side/Chinatown,Development,Units authorized by new residential building permits,The number of units authorized by new residential building permits is derived from the building permit and jobs reports of the DOB.,229,0,78,133,589,"2,717",83
MN 03,Lower East Side/Chinatown,Development,Units issued new certificates of occupancy,The number of residential units in buildings issued new certificates of occupancy issued by the DOB each year.,667,640,443,415,233,375,513
MN 03,Lower East Side/Chinatown,Development,"Population density (1,000 persons per square mile)",The geographic area's population divided by its land area and is reported in thousands of people per square mile.,,102.4,91.1,95.8,80.8,81.3,
MN 03,Lower East Side/Chinatown,Subsidized Housing,Total number of subsidized properties (properties),"Total number of subsidized properties (includes federal programs, Mitchell-Lama, NYC Housing Production Programs and Zoning Incentives or Requirements, and New York State Property Tax Incentives, except 421-a and J-51)",,,,,,,400
MN 03,Lower East Side/Chinatown,Subsidized Housing,HUD Financing or Insurance (properties),Total number of properties receiving a benefit from a HUD Financing or Insurance Program,,,,,,,21
MN 03,Lower East Side/Chinatown,Subsidized Housing,HUD Financing or Insurance (units),Total number of units in properties receiving a benefit from a HUD Financing or Insurance Program (all affordable),,,,,,,"1,806"
MN 03,Lower East Side/Chinatown,Subsidized Housing,HUD Project-based Rental Assistance Program (properties),Total number of properties receiving a benefit from a HUD Project-based Rental Assistance Program,,,,,,,37
MN 03,Lower East Side/Chinatown,Subsidized Housing,HUD Project-based Rental Assistance Program (units),Total number of units in properties receiving a benefit from a HUD Project-based Rental Assistance Program (includes both affordable and market rate units),,,,,,,"3,387"
MN 03,Lower East Side/Chinatown,Subsidized Housing,Low Income Housing Tax Credit (properties),Total number of properties receiving a benefit from the Low Income Housing Tax Credit,,,,,,,60
MN 03,Lower East Side/Chinatown,Subsidized Housing,Low Income Housing Tax Credit (units),Total number of units in properties receiving a benefit from the Low Income Housing Tax Credit (includes both affordable and market rate units),,,,,,,"5,622"
MN 03,Lower East Side/Chinatown,Subsidized Housing,Public Housing (properties),Total number of public housing properties (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,36
MN 03,Lower East Side/Chinatown,Subsidized Housing,Public Housing (units),Total number of public housing units (includes housing owned and operated by NYCHA even if the properties were not originally public housing),,,,,,,"14,928"
MN 03,Lower East Side/Chinatown,Subsidized Housing,Public housing (% of rental units),The share of all rental units located in New York City Housing Authority public housing.,,,,,,,22.8%
MN 03,Lower East Side/Chinatown,Subsidized Housing,Mitchell-Lama (properties),Total number of properties receiving a benefit from the Mitchell-Lama program,,,,,,,13
MN 03,Lower East Side/Chinatown,Subsidized Housing,Mitchell-Lama (units),Total number of units in properties receiving a benefit from the Mitchell-Lama program (all affordable),,,,,,,"5,247"
MN 03,Lower East Side/Chinatown,Subsidized Housing,421-a Tax Exemption (properties),Total number of properties using a 421-a tax emption (includes properties with only market rate units),,,,,,,29
MN 03,Lower East Side/Chinatown,Subsidized Housing,421-a Tax Exemption (units),Total number of units in properties using a 421-a tax emption (includes both affordable and market rate units),,,,,,,"3,517"
MN 03,Lower East Side/Chinatown,Subsidized Housing,420-c Tax Exemption (properties),Total number of properties using a 420-c tax emption,,,,,,,61
MN 03,Lower East Side/Chinatown,Subsidized Housing,420-c Tax Exemption (units),Total number of units in properties using a 420-c tax emption (all affordable),,,,,,,"1,876"
MN 03,Lower East Side/Chinatown,Subsidized Housing,NYC Housing Production Programs and Zoning Incentives or Requirements (properties),"Total number of properties that entered a New York City housing production program or zoning incentive or requirement between July 1,  2003 and December 31, 2017",,,,,,,162
MN 03,Lower East Side/Chinatown,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (properties),"Total number of properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,19
MN 03,Lower East Side/Chinatown,Subsidized Housing,Eligible to expire from housing programs between 2024 and 2029 (units),"Total number of units in properties eligible to expire between 2023 and 2028 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"2,122"
MN 03,Lower East Side/Chinatown,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (properties),"Total number of properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,30
MN 03,Lower East Side/Chinatown,Subsidized Housing,Eligible to expire from housing programs between 2030 and 2039 (units),"Total number of units in properties eligible to expire between 2029 and 2038 (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"2,513"
MN 03,Lower East Side/Chinatown,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (properties),"Total number of properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,41
MN 03,Lower East Side/Chinatown,Subsidized Housing,Eligible to expire from housing programs in 2040 and later (units),"Total number of units in properties eligible to expire in 2039 and later (expiration based on HUD Financing and Insurance programs, HUD project based rental assistance, LIHTC, and the Mitchell-Lama program only)",,,,,,,"4,301"
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,Car-free commute (% of commuters),"The percentage of workers who commute primarily by foot, bicycle, or public transportation, as a share of all workers over the age of 16 who do not work at home.",86.0%,86.1%,90.7%,92.8%,88.6%,87.2%,
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,Mean travel time to work (minutes),The mean commute time in minutes for commuters residing in the geographic area.,30.9,30.3,29.3,30.1,30.5,30.3,
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,"Serious crime rate (per 1,000 residents)","The number of serious crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,15.3,13.8,14.9,17.6,21.4,19.4
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,"Serious crime rate, property (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,10.7,9.4,10.3,12.8,15.7,14.1
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,"Serious crime rate, violent (per 1,000 residents)","The number of serious property crimes, those classified as a major felony as defined by the NYPD, committed in a given geographic area per 1,000 residents.",,4.6,4.4,4.6,4.8,5.7,5.3
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,"Students performing at grade level in English language arts, 4th grade",The percentage of fourth-grade students performing at or above grade level in English language arts in 4th grade (termed 'proficient').,,,,64.2%,,58.0%,63.6%
MN 03,Lower East Side/Chinatown,Neighborhood Services and Conditions,"Students performing at grade level in math, 4th grade",The percentage of fourth-grade students performing at or above grade level in math in 4th grade (termed 'proficient').,,,,62.5%,,56.4%,62.1%
